Aligner	clc	clc_anno	contextmap2	contextmap2_anno	crac	crac_anno	crac-noambiguity	crac-noambiguity_anno	gsnap	gsnap_anno	hisat2	hisat2_anno	hisat	hisat_anno	mapsplice2	mapsplice2_anno	novoalign	novoalign_anno	olego	olego_anno	olego-twopass	olego-twopass_anno	rum	rum_anno	soapsplice	soapsplice_anno	star	star_anno	star-onepass	star-onepass_anno	subread	subread_anno	tophat2nocoveragesearch-bowtie2sensitive	tophat2nocoveragesearch-bowtie2sensitive_anno
	NO annotation	annotation*	NO annotation	annotation*	NO annotation*	annotation	NO annotation*	annotation	NO annotation	annotation*	NO annotation	annotation*	NO annotation	annotation*	NO annotation*	annotation	NO annotation	annotation*	NO annotation	annotation*	NO annotation	annotation*	NO annotation	annotation*	NO annotation*	annotation	NO annotation	annotation*	NO annotation	annotation*	NO annotation*	annotation	NO annotation	annotation*
---------------- READ LEVEL ---------------------	Not available (doesn't align on junctions)					Not available (only without annotation)		Not available (only without annotation)								(annotation should be useful only for fusion detection)	(doesn't align on junctions)									Not available (only without annotation)						Not available (only without annotation)		
total_number_of_reads:		20000000	20000000	20000000	20000000		20000000		20000000	20000000	20000000	20000000	20000000	20000000	20000000	20000000		20000000	20000000	20000000	20000000	20000000	20000000	20000000	20000000		20000000	20000000	20000000	20000000	20000000		20000000	20000000
accuracy over all reads:		84.63%	61.75%	61.77%	80.65%		80.65%		92.06%	91.98%	30.34%	30.45%	19.65%	19.75%	85.75%	85.75%		97.26%	23.78%	23.29%	23.25%	23.30%	72.62%	72.73%	56.82%		80.66%	81.08%	79.10%	80.93%	48.49%		12.47%	12.53%
accuracy over uniquely aligned reads:		97.21%	96.97%	96.97%	88.55%		88.54%		98.59%	98.58%	98.90%	65.21%	99.48%	59.10%	99.15%	99.15%		99.78%	97.89%	98.19%	98.17%	98.17%	99.56%	84.20%	96.21%		99.56%	99.57%	99.50%	99.56%	97.23%		99.78%	99.57%
% reads aligned incorrectly:		2.42%	1.92%	1.92%	10.42%		10.43%		1.31%	1.31%	0.33%	16.24%	0.10%	13.66%	0.73%	0.73%		0.20%	0.51%	0.42%	0.43%	0.43%	0.31%	13.64%	2.23%		0.35%	0.34%	0.39%	0.35%	1.38%		0.02%	0.05%
% reads aligned ambiguously:		2.80%	0.00%	0.00%	0.00%		0.00%		1.96%	2.00%	0.90%	0.81%	0.82%	0.73%	2.15%	2.15%		2.45%	0.00%	0.00%	0.00%	0.00%	2.50%	2.50%	0.02%		2.25%	2.26%	2.14%	2.24%	0.00%		0.75%	0.70%
% reads unaligned:		10.14%	36.31%	36.29%	8.91%		8.91%		4.65%	4.69%	68.41%	52.47%	79.41%	65.84%	11.36%	11.36%		0.07%	75.70%	76.27%	76.31%	76.25%	24.55%	11.11%	40.91%		16.72%	16.30%	18.35%	16.47%	50.12%		86.74%	86.70%
% reads aligned:		89.86%	63.69%	63.71%	91.09%		91.09%		95.35%	95.31%	31.59%	47.53%	20.59%	34.16%	88.64%	88.64%		99.93%	24.30%	23.73%	23.69%	23.75%	75.45%	88.89%	59.09%		83.28%	83.70%	81.65%	83.53%	49.88%		13.26%	13.30%
% of reads with true introns:		13.46%	13.46%	13.46%	13.46%		13.46%		13.46%	13.46%	13.46%	13.46%	13.46%	13.46%	13.46%	13.46%		13.46%	13.46%	13.46%	13.46%	13.46%	13.46%	13.46%	13.46%		13.46%	13.46%	13.46%	13.46%	13.46%		13.46%	13.46%
