Aligner,clc,clc_anno,contextmap2,contextmap2_anno,crac,crac_anno,crac-noambiguity,crac-noambiguity_anno,gsnap,gsnap_anno,hisat2,hisat2_anno,hisat,hisat_anno,mapsplice2,mapsplice2_anno,novoalign,novoalign_anno,olego,olego_anno,olego-twopass,olego-twopass_anno,rum,rum_anno,soapsplice,soapsplice_anno,star,star_anno,star-onepass,star-onepass_anno,subread,subread_anno,tophat2nocoveragesearch-bowtie2sensitive,tophat2nocoveragesearch-bowtie2sensitive_anno
,NO annotation,annotation*,NO annotation,annotation*,NO annotation*,annotation,NO annotation*,annotation,NO annotation,annotation*,NO annotation,annotation*,NO annotation,annotation*,NO annotation*,annotation,NO annotation,annotation*,NO annotation,annotation*,NO annotation,annotation*,NO annotation,annotation*,NO annotation*,annotation,NO annotation,annotation*,NO annotation,annotation*,NO annotation*,annotation,NO annotation,annotation*
---------------- READ LEVEL ---------------------,Not available (doesn't align on junctions),,,,,Not available (only without annotation),,Not available (only without annotation),,,,,,,,(annotation should be useful only for fusion detection),(doesn't align on junctions),,,,,,,,,Not available (only without annotation),,,,,,Not available (only without annotation),,
total_number_of_reads:,,20000000,20000000,20000000,20000000,,20000000,,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,,20000000,20000000,20000000,20000000,20000000,,20000000,20000000
accuracy over all reads:,,98.15%,40.11%,40.11%,79.65%,,79.62%,,88.41%,88.30%,8.15%,8.15%,4.84%,4.84%,81.81%,81.81%,,98.27%,8.37%,8.36%,8.37%,8.38%,54.43%,54.46%,36.73%,,70.87%,70.99%,70.59%,71.11%,27.52%,,2.05%,2.08%
accuracy over uniquely aligned reads:,,99.19%,96.70%,96.70%,95.63%,,95.59%,,99.34%,99.32%,99.26%,52.12%,99.92%,51.40%,99.73%,99.73%,,99.98%,98.81%,98.77%,98.77%,98.76%,99.83%,69.34%,98.45%,,99.86%,99.86%,99.86%,99.87%,93.28%,,99.98%,99.98%
% reads aligned incorrectly:,,0.79%,1.36%,1.36%,3.63%,,3.67%,,0.58%,0.59%,0.06%,7.49%,0.00%,4.58%,0.21%,0.21%,,0.01%,0.10%,0.10%,0.10%,0.10%,0.08%,24.07%,0.57%,,0.09%,0.09%,0.09%,0.08%,1.98%,,0.00%,0.00%
% reads aligned ambiguously:,,0.21%,0.00%,0.00%,0.00%,,0.00%,,1.62%,1.62%,0.15%,0.15%,0.17%,0.17%,1.40%,1.40%,,1.69%,0.00%,0.00%,0.00%,0.00%,1.39%,1.39%,0.00%,,5.55%,5.54%,5.37%,5.41%,0.00%,,0.08%,0.08%
% reads unaligned:,,0.83%,58.52%,58.51%,16.70%,,16.70%,,9.37%,9.47%,91.62%,84.19%,94.97%,90.39%,16.56%,16.56%,,0.01%,91.52%,91.53%,91.52%,91.51%,44.09%,20.07%,62.68%,,23.48%,23.36%,23.92%,23.38%,70.49%,,97.85%,97.83%
% reads aligned:,,99.17%,41.48%,41.49%,83.30%,,83.30%,,90.63%,90.53%,8.38%,15.81%,5.03%,9.61%,83.44%,83.44%,,99.99%,8.48%,8.47%,8.48%,8.49%,55.91%,79.93%,37.32%,,76.52%,76.64%,76.08%,76.62%,29.51%,,2.15%,2.17%
% of reads with true introns:,,4.31%,4.31%,4.31%,4.31%,,4.31%,,4.31%,4.31%,4.31%,4.31%,4.31%,4.31%,4.31%,4.31%,,4.31%,4.31%,4.31%,4.31%,4.31%,4.31%,4.31%,4.31%,,4.31%,4.31%,4.31%,4.31%,4.31%,,4.31%,4.31%
